COUNTY,PRECINCT,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,TOTAL_VOTES
Allegheny,BETHEL PARK WARD 5 DIST 1,trumpd,12/27/2021 20:35:30.245083,88,222,0,274
Allegheny,BETHEL PARK WARD 5 DIST 2,bidenj,12/27/2021 20:35:30.245083,176,90,0,215
Allegheny,BETHEL PARK WARD 5 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,3,6,0,215
Allegheny,BETHEL PARK WARD 5 DIST 2,other,12/27/2021 20:35:30.245083,0,2,0,215
Allegheny,BETHEL PARK WARD 5 DIST 2,trumpd,12/27/2021 20:35:30.245083,36,214,0,215
Allegheny,BETHEL PARK WARD 5 DIST 3,bidenj,12/27/2021 20:35:30.245083,528,130,0,695
Allegheny,BETHEL PARK WARD 5 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,5,9,0,695
Allegheny,BETHEL PARK WARD 5 DIST 3,other,12/27/2021 20:35:30.245083,0,0,0,695
Allegheny,BETHEL PARK WARD 5 DIST 3,trumpd,12/27/2021 20:35:30.245083,162,358,0,695
Allegheny,BETHEL PARK WARD 6 DIST 1,bidenj,12/27/2021 20:35:30.245083,340,142,0,488
Allegheny,BETHEL PARK WARD 6 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,2,12,0,488
Allegheny,BETHEL PARK WARD 6 DIST 1,other,12/27/2021 20:35:30.245083,4,0,0,488
Allegheny,BETHEL PARK WARD 6 DIST 1,trumpd,12/27/2021 20:35:30.245083,142,444,0,488
Allegheny,BETHEL PARK WARD 6 DIST 2,bidenj,12/27/2021 20:35:30.245083,299,126,0,394
Allegheny,BETHEL PARK WARD 6 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,4,7,0,394
Allegheny,BETHEL PARK WARD 6 DIST 2,other,12/27/2021 20:35:30.245083,1,0,0,394
Allegheny,BETHEL PARK WARD 6 DIST 2,trumpd,12/27/2021 20:35:30.245083,90,306,0,394
Allegheny,BETHEL PARK WARD 6 DIST 3,bidenj,12/27/2021 20:35:30.245083,276,76,0,399
Allegheny,BETHEL PARK WARD 6 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,4,3,0,399
Allegheny,BETHEL PARK WARD 6 DIST 3,other,12/27/2021 20:35:30.245083,2,0,0,399
Allegheny,BETHEL PARK WARD 6 DIST 3,trumpd,12/27/2021 20:35:30.245083,117,263,0,399
Allegheny,BETHEL PARK WARD 7 DIST 1,bidenj,12/27/2021 20:35:30.245083,334,138,0,470
Allegheny,BETHEL PARK WARD 7 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,5,11,0,470
Allegheny,BETHEL PARK WARD 7 DIST 1,other,12/27/2021 20:35:30.245083,1,0,0,470
Allegheny,BETHEL PARK WARD 7 DIST 1,trumpd,12/27/2021 20:35:30.245083,130,431,0,470
Allegheny,BETHEL PARK WARD 7 DIST 2,bidenj,12/27/2021 20:35:30.245083,394,144,0,518
Allegheny,BETHEL PARK WARD 7 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,3,8,0,518
Allegheny,BETHEL PARK WARD 7 DIST 2,other,12/27/2021 20:35:30.245083,1,1,0,518
Allegheny,BETHEL PARK WARD 7 DIST 2,trumpd,12/27/2021 20:35:30.245083,120,379,0,518
Allegheny,BETHEL PARK WARD 7 DIST 3,bidenj,12/27/2021 20:35:30.245083,237,89,0,311
Allegheny,BETHEL PARK WARD 7 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,1,7,0,311
Allegheny,BETHEL PARK WARD 7 DIST 3,other,12/27/2021 20:35:30.245083,2,3,0,311
Allegheny,BETHEL PARK WARD 7 DIST 3,trumpd,12/27/2021 20:35:30.245083,71,251,0,311
Allegheny,BETHEL PARK WARD 8 DIST 1,bidenj,12/27/2021 20:35:30.245083,161,90,0,218
Allegheny,BETHEL PARK WARD 8 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,3,2,0,218
Allegheny,BETHEL PARK WARD 8 DIST 1,other,12/27/2021 20:35:30.245083,2,1,0,218
Allegheny,BETHEL PARK WARD 8 DIST 1,trumpd,12/27/2021 20:35:30.245083,52,170,0,218
Allegheny,BETHEL PARK WARD 8 DIST 2,bidenj,12/27/2021 20:35:30.245083,153,50,0,235
Allegheny,BETHEL PARK WARD 8 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,2,2,0,235
Allegheny,BETHEL PARK WARD 8 DIST 2,other,12/27/2021 20:35:30.245083,1,1,0,235
Allegheny,BETHEL PARK WARD 8 DIST 2,trumpd,12/27/2021 20:35:30.245083,79,52,0,235
Allegheny,BETHEL PARK WARD 8 DIST 3,bidenj,12/27/2021 20:35:30.245083,391,135,0,510
Allegheny,BETHEL PARK WARD 8 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,12,6,0,510
Allegheny,BETHEL PARK WARD 8 DIST 3,other,12/27/2021 20:35:30.245083,0,3,0,510
Allegheny,BETHEL PARK WARD 8 DIST 3,trumpd,12/27/2021 20:35:30.245083,107,425,0,510
Allegheny,BETHEL PARK WARD 8 DIST 4,bidenj,12/27/2021 20:35:30.245083,140,68,0,177
Allegheny,BETHEL PARK WARD 8 DIST 4,jorgensenj,12/27/2021 20:35:30.245083,2,4,0,177
Allegheny,BETHEL PARK WARD 8 DIST 4,other,12/27/2021 20:35:30.245083,3,0,0,177
Allegheny,BETHEL PARK WARD 8 DIST 4,trumpd,12/27/2021 20:35:30.245083,32,151,0,177
Allegheny,BETHEL PARK WARD 9 DIST 1,bidenj,12/27/2021 20:35:30.245083,165,83,0,235
Allegheny,BETHEL PARK WARD 9 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,3,2,0,235
Allegheny,BETHEL PARK WARD 9 DIST 1,other,12/27/2021 20:35:30.245083,4,0,0,235
Allegheny,BETHEL PARK WARD 9 DIST 1,trumpd,12/27/2021 20:35:30.245083,63,189,0,235
Allegheny,BETHEL PARK WARD 9 DIST 2,bidenj,12/27/2021 20:35:30.245083,214,104,0,289
Allegheny,BETHEL PARK WARD 9 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,0,6,0,289
