CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
yes-2,2021-11-03T03:40:50.757Z,984438,145250,0
no-3,2021-11-03T03:43:52.623Z,563725,83237,0
yes-2,2021-11-03T03:43:52.623Z,986752,145250,0
no-3,2021-11-03T03:48:55.777Z,565774,83237,0
yes-2,2021-11-03T03:48:55.777Z,990518,145250,0
no-3,2021-11-03T03:49:56.440Z,566413,83237,0
yes-2,2021-11-03T03:49:56.440Z,992008,145250,0
no-3,2021-11-03T04:01:03.260Z,566413,83237,0
yes-2,2021-11-03T04:01:03.260Z,992008,145250,0
no-3,2021-11-03T04:04:04.397Z,568932,83237,0
yes-2,2021-11-03T04:04:04.397Z,996302,145250,0
no-3,2021-11-03T04:05:05.053Z,573141,83237,0
yes-2,2021-11-03T04:05:05.053Z,1005529,145250,0
no-3,2021-11-03T04:11:07.830Z,577362,83237,0
yes-2,2021-11-03T04:11:07.830Z,1013915,145250,0
no-3,2021-11-03T04:16:12.580Z,581870,83237,0
yes-2,2021-11-03T04:16:12.580Z,1022320,145250,0
no-3,2021-11-03T04:17:14.143Z,582309,83237,0
yes-2,2021-11-03T04:17:14.143Z,1023079,145250,0
no-3,2021-11-03T04:23:17.243Z,582618,83237,0
yes-2,2021-11-03T04:23:17.243Z,1023744,145250,0
no-3,2021-11-03T04:24:17.903Z,582892,83237,0
yes-2,2021-11-03T04:24:17.903Z,1024251,145250,0
no-3,2021-11-03T04:29:22.223Z,599742,83237,0
yes-2,2021-11-03T04:29:22.223Z,1057683,145250,0
no-3,2021-11-03T04:32:24.930Z,604550,83237,0
yes-2,2021-11-03T04:32:24.930Z,1065489,145250,0
no-3,2021-11-03T04:41:31.480Z,605456,83237,0
yes-2,2021-11-03T04:41:31.480Z,1066747,145250,0
no-3,2021-11-03T04:48:35.333Z,607788,83237,0
yes-2,2021-11-03T04:48:35.333Z,1071760,145250,0
no-3,2021-11-03T04:54:37.99Z,607788,83237,0
yes-2,2021-11-03T04:54:37.99Z,1071760,145250,0
no-3,2021-11-03T05:00:39.833Z,613686,83237,0
yes-2,2021-11-03T05:00:39.833Z,1083834,145250,0
no-3,2021-11-03T05:01:40.487Z,613819,83237,0
yes-2,2021-11-03T05:01:40.487Z,1084161,145250,0
no-3,2021-11-03T05:10:46.080Z,616804,83237,0
yes-2,2021-11-03T05:10:46.080Z,1089455,145250,0
no-3,2021-11-03T05:28:53.323Z,622831,83237,0
yes-2,2021-11-03T05:28:53.323Z,1101862,145250,0
no-3,2021-11-03T05:29:53.980Z,629599,83237,0
yes-2,2021-11-03T05:29:53.980Z,1115178,145250,0
no-3,2021-11-03T05:34:57.363Z,638842,83237,0
yes-2,2021-11-03T05:34:57.363Z,1137633,145250,0
no-3,2021-11-03T06:16:17.653Z,641945,83237,0
yes-2,2021-11-03T06:16:17.653Z,1144494,145250,0
no-3,2021-11-03T07:05:35.337Z,645465,83237,0
yes-2,2021-11-03T07:05:35.337Z,1151011,145250,0
no-3,2021-11-03T07:06:36.137Z,645746,83237,0
yes-2,2021-11-03T07:06:36.137Z,1152059,145250,0
no-3,2021-11-03T07:20:44.103Z,657663,83237,0
yes-2,2021-11-03T07:20:44.103Z,1178371,145250,0
no-3,2021-11-03T13:56:55.68Z,659255,83237,0
yes-2,2021-11-03T13:56:55.68Z,1181031,145250,0
