COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Liberty,trumpd,12/27/2021 20:35:30.279628,454,896,0,None,None,None
Madison,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Madison,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Manatee,bidenj,12/27/2021 20:35:30.279628,56459,10767,0,None,None,0
Manatee,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Manatee,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Manatee,hawkinsh,12/27/2021 20:35:30.279628,132,62,0,None,None,0
Manatee,jorgensenj,12/27/2021 20:35:30.279628,563,415,0,None,None,0
Manatee,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Manatee,other,12/27/2021 20:35:30.279628,287,123,0,None,None,0
Manatee,trumpd,12/27/2021 20:35:30.279628,47341,28849,0,None,None,0
Marion,bidenj,12/27/2021 20:35:30.279628,39282,12260,0,None,None,0
Marion,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Marion,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Marion,hawkinsh,12/27/2021 20:35:30.279628,123,64,0,None,None,0
Marion,jorgensenj,12/27/2021 20:35:30.279628,381,457,0,None,None,0
Marion,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Marion,other,12/27/2021 20:35:30.279628,165,107,0,None,None,0
Marion,trumpd,12/27/2021 20:35:30.279628,33481,38774,0,None,None,0
Martin,bidenj,12/27/2021 20:35:30.279628,22159,3487,0,43304,15048,0
Martin,blankenshipd,12/27/2021 20:35:30.279628,28,3,0,43304,15048,0
Martin,de_la_fuenter,12/27/2021 20:35:30.279628,16,6,0,43304,15048,0
Martin,hawkinsh,12/27/2021 20:35:30.279628,49,26,0,43304,15048,0
Martin,jorgensenj,12/27/2021 20:35:30.279628,167,124,0,43304,15048,0
Martin,la_rivag,12/27/2021 20:35:30.279628,15,9,0,43304,15048,0
Martin,other,12/27/2021 20:35:30.279628,105,41,0,43304,15048,0
Martin,trumpd,12/27/2021 20:35:30.279628,20765,11352,0,43304,15048,0
Miami-Dade,bidenj,12/27/2021 20:35:30.279628,321372,65297,0,506857,139530,0
Miami-Dade,blankenshipd,12/27/2021 20:35:30.279628,150,64,0,506857,139530,0
Miami-Dade,de_la_fuenter,12/27/2021 20:35:30.279628,347,106,0,506857,139530,0
Miami-Dade,hawkinsh,12/27/2021 20:35:30.279628,674,239,0,506857,139530,0
Miami-Dade,jorgensenj,12/27/2021 20:35:30.279628,1611,609,0,506857,139530,0
Miami-Dade,la_rivag,12/27/2021 20:35:30.279628,256,119,0,506857,139530,0
Miami-Dade,other,12/27/2021 20:35:30.279628,932,472,0,506857,139530,0
Miami-Dade,trumpd,12/27/2021 20:35:30.279628,181515,72624,0,506857,139530,0
Monroe,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
